^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):BIOGPS_U133AGNF1HA|Array_count(15075390).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
AQP9	BIOGPS_U133AGNF1HA|Array_count	0.998	Blood	0.9998
MNDA	BIOGPS_U133AGNF1HA|Array_count	0.9983	Blood	0.9997
P2RY13	BIOGPS_U133AGNF1HA|Array_count	0.9964	Blood	0.9997
PROK2	BIOGPS_U133AGNF1HA|Array_count	0.9957	Blood	0.9995
AMICA1	BIOGPS_U133AGNF1HA|Array_count	0.9948	Blood	0.9994
VNN2	BIOGPS_U133AGNF1HA|Array_count	0.9975	Blood	0.9994
TAGAP	BIOGPS_U133AGNF1HA|Array_count	0.9953	Blood	0.9993
HCAR3	BIOGPS_U133AGNF1HA|Array_count	0.9951	Blood	0.9993
GNLY	BIOGPS_U133AGNF1HA|Array_count	0.9955	Blood	0.9992
CXCR2	BIOGPS_U133AGNF1HA|Array_count	0.995	Blood	0.9992
PF4	BIOGPS_U133AGNF1HA|Array_count	0.998	Blood	0.999
FPR2	BIOGPS_U133AGNF1HA|Array_count	0.9933	Blood	0.9987
CXCR1	BIOGPS_U133AGNF1HA|Array_count	0.992	Blood	0.9987
LILRA2	BIOGPS_U133AGNF1HA|Array_count	0.9932	Blood	0.9986
LCP1	BIOGPS_U133AGNF1HA|Array_count	0.9946	Blood	0.9982
FGL2	BIOGPS_U133AGNF1HA|Array_count	0.992	Blood	0.9981
CFP	BIOGPS_U133AGNF1HA|Array_count	0.9918	Blood	0.998
TNFRSF10C	BIOGPS_U133AGNF1HA|Array_count	0.9897	Blood	0.9979
CD300A	BIOGPS_U133AGNF1HA|Array_count	0.9907	Blood	0.9979
LST1	BIOGPS_U133AGNF1HA|Array_count	0.9943	Blood	0.9978
DPEP2	BIOGPS_U133AGNF1HA|Array_count	0.9909	Blood	0.9977
FRAT2	BIOGPS_U133AGNF1HA|Array_count	0.9941	Blood	0.9977
PLXNC1	BIOGPS_U133AGNF1HA|Array_count	0.9902	Blood	0.9971
TLR2	BIOGPS_U133AGNF1HA|Array_count	0.987	Blood	0.9969
TLR1	BIOGPS_U133AGNF1HA|Array_count	0.9868	Blood	0.9968
ZDHHC18	BIOGPS_U133AGNF1HA|Array_count	0.987	Blood	0.9966
CCR2	BIOGPS_U133AGNF1HA|Array_count	0.9862	Blood	0.9964
SELPLG	BIOGPS_U133AGNF1HA|Array_count	0.9926	Blood	0.9961
MS4A6A	BIOGPS_U133AGNF1HA|Array_count	0.9867	Blood	0.996
