^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):BIOGPS_U133AGNF1HA|Array_count(15075390); GSE30611|NGS(23258890).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
BHLHA9	GSE30611|NGS	1.0	Lymph node	1.0
SLC23A3	GSE30611|NGS	1.0	Lymph node	1.0
CINP	GSE30611|NGS	1.0	Lymph node	1.0
KCNQ2	GSE30611|NGS	1.0	Lymph node	1.0
CKAP5	GSE30611|NGS	1.0	Lymph node	1.0
MIR1233-2	GSE30611|NGS	1.0	Lymph node	1.0
SMAGP	GSE30611|NGS	1.0	Lymph node	1.0
PARVG	GSE30611|NGS	1.0	Lymph node	1.0
LOC100506963	GSE30611|NGS	1.0	Lymph node	1.0
MIR29B2	GSE30611|NGS	1.0	Lymph node	1.0
TRIM55	GSE30611|NGS	1.0	Lymph node	1.0
AIMP1	GSE30611|NGS	1.0	Lymph node	1.0
CXCR5	GSE30611|NGS	1.0	Lymph node	1.0
MIR3179-3	GSE30611|NGS	1.0	Lymph node	1.0
MRPS11	GSE30611|NGS	1.0	Lymph node	1.0
OR2AG2	GSE30611|NGS	1.0	Lymph node	1.0
LOC729156	GSE30611|NGS	1.0	Lymph node	1.0
MIR3179-2	GSE30611|NGS	1.0	Lymph node	1.0
FAM82A1	GSE30611|NGS	1.0	Lymph node	1.0
NRD1	GSE30611|NGS	1.0	Lymph node	1.0
WDR81	GSE30611|NGS	1.0	Lymph node	1.0
CD244	GSE30611|NGS	1.0	Lymph node	1.0
TMED7-TICAM2	GSE30611|NGS	1.0	Lymph node	1.0
SGCD	GSE30611|NGS	1.0	Lymph node	1.0
CDK3	GSE30611|NGS	1.0	Lymph node	1.0
MAPK1	GSE30611|NGS	1.0	Lymph node	1.0
SERPINA9	GSE30611|NGS	1.0	Lymph node	1.0
RAI2	GSE30611|NGS	1.0	Lymph node	1.0
MGAT4B	GSE30611|NGS	1.0	Lymph node	1.0
SNORD121B	GSE30611|NGS	1.0	Lymph node	1.0
VPREB1	GSE30611|NGS	1.0	Lymph node	1.0
NPPA-AS1	GSE30611|NGS	1.0	Lymph node	1.0
CNOT2	GSE30611|NGS	1.0	Lymph node	1.0
ERLIN1	GSE30611|NGS	1.0	Lymph node	1.0
MIR3179-1	GSE30611|NGS	1.0	Lymph node	1.0
MIR1233-1	GSE30611|NGS	1.0	Lymph node	1.0
SEC61A2	GSE30611|NGS	0.9993	Lymph node	1.0
GCFC1-AS1	GSE30611|NGS	1.0	Lymph node	1.0
TSC22D1-AS1	GSE30611|NGS	1.0	Lymph node	1.0
SCARNA18	GSE30611|NGS	1.0	Lymph node	1.0
LRRC61	GSE30611|NGS	1.0	Lymph node	1.0
KRTAP4-11	GSE30611|NGS	1.0	Lymph node	1.0
SIGLEC12	GSE30611|NGS	0.9977	Lymph node	0.9997
RPS6KA5	GSE30611|NGS	0.9947	Lymph node	0.999
