^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
LRRN2	GDS1096|Array_count	1.0	bone marrow	1.0
XPO7	GDS1096|Array_count	1.0	bone marrow	1.0
C22orf25	GDS3113|Array_count	1.0	bone marrow	1.0
LYL1	GDS1096|Array_count	1.0	bone marrow	1.0
RFWD3	GDS1096|Array_count	1.0	bone marrow	1.0
ADAM8	GDS1096|Array_count	1.0	bone marrow	1.0
HRASLS2	GDS1096|Array_count	1.0	bone marrow	1.0
GMPSP1	GDS1096|Array_count	1.0	bone marrow	1.0
EPB42	GDS1096|Array_count	1.0	bone marrow	1.0
PPP1R3D	GDS1096|Array_count	1.0	bone marrow	1.0
PF4	GDS1096|Array_count	1.0	bone marrow	1.0
ATP11C	GDS3113|Array_count	1.0	bone marrow	1.0
IL17RA	GDS1096|Array_count	1.0	bone marrow	1.0
FOLR3	GDS1096|Array_count	1.0	bone marrow	1.0
CD6	GDS1096|Array_count	1.0	bone marrow	1.0
SETDB1	GDS1096|Array_count	1.0	bone marrow	1.0
SPTB	GDS1096|Array_count	1.0	bone marrow	1.0
GPR141	GDS3113|Array_count	1.0	bone marrow	1.0
STK10	GDS1096|Array_count	1.0	bone marrow	1.0
RHAG	GDS1096|Array_count	1.0	bone marrow	1.0
KLF1	GDS1096|Array_count	1.0	bone marrow	1.0
ADD2	GDS1096|Array_count	1.0	bone marrow	1.0
GYPB	GDS1096|Array_count	1.0	bone marrow	1.0
CTSG	GDS1096|Array_count	1.0	bone marrow	1.0
MPO	BIOGPS_U133AGNF1HA|Array_count	0.9991	bone marrow	1.0
CHST11	GDS1096|Array_count	1.0	bone marrow	1.0
MED14	GDS3113|Array_count	1.0	bone marrow	1.0
TRIM10	GDS1096|Array_count	1.0	bone marrow	1.0
RHCE	GDS1096|Array_count	1.0	bone marrow	1.0
OR7G2	GDS3113|Array_count	1.0	bone marrow	1.0
DEFA4	BIOGPS_U133AGNF1HA|Array_count	0.9993	bone marrow	1.0
ANP32A-IT1	GDS1096|Array_count	1.0	bone marrow	1.0
ELANE	BIOGPS_U133AGNF1HA|Array_count	0.9992	bone marrow	1.0
GRK6	GDS1096|Array_count	1.0	bone marrow	1.0
PLEK	GDS1096|Array_count	1.0	bone marrow	1.0
PRG3	GDS1096|Array_count	1.0	bone marrow	1.0
IGHG1	GDS1096|Array_count	1.0	bone marrow	1.0
SIPA1	GDS1096|Array_count	1.0	bone marrow	1.0
NGLY1	GDS1096|Array_count	1.0	bone marrow	1.0
GYPA	GDS1096|Array_count	1.0	bone marrow	1.0
ETV1	GDS1096|Array_count	1.0	bone marrow	1.0
LIG1	GDS1096|Array_count	1.0	bone marrow	1.0
CEBPE	GDS1096|Array_count	1.0	bone marrow	1.0
CCNA2	GDS1096|Array_count	1.0	bone marrow	1.0
FECH	GDS1096|Array_count	1.0	bone marrow	1.0
BCL2L1	GDS1096|Array_count	1.0	bone marrow	1.0
SLC11A1	GDS1096|Array_count	1.0	bone marrow	1.0
MPO	GDS1096|Array_count	1.0	bone marrow	1.0
ESR1	GDS1096|Array_count	1.0	bone marrow	1.0
SND1-IT1	GDS1096|Array_count	1.0	bone marrow	1.0
CLC	GDS1096|Array_count	1.0	bone marrow	1.0
AZU1	GDS1096|Array_count	1.0	bone marrow	1.0
FCAR	GDS1096|Array_count	1.0	bone marrow	1.0
CEACAM8	GDS1096|Array_count	1.0	bone marrow	1.0
GATA1	GDS1096|Array_count	1.0	bone marrow	1.0
GFI1B	GDS1096|Array_count	1.0	bone marrow	1.0
CNN2	GDS1096|Array_count	1.0	bone marrow	1.0
MCM4	GDS1096|Array_count	1.0	bone marrow	1.0
NPEPL1	GDS1096|Array_count	1.0	bone marrow	1.0
HK3	GDS1096|Array_count	1.0	bone marrow	1.0
ELANE	GDS1096|Array_count	1.0	bone marrow	1.0
PPIH	GDS1096|Array_count	1.0	bone marrow	1.0
PGLYRP1	GDS1096|Array_count	1.0	bone marrow	1.0
ST3GAL5	GDS1096|Array_count	1.0	bone marrow	1.0
PADI4	GDS1096|Array_count	1.0	bone marrow	1.0
