^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434); GSE30611|NGS(23258890); RNASEQ|NGS(22345621).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
LY6G6D	RNASEQ|NGS	1.0	colon	1.0
MAS1L	RNASEQ|NGS	1.0	colon	1.0
MIR196B	RNASEQ|NGS	1.0	colon	1.0
CCL25	RNASEQ|NGS	1.0	colon	1.0
OR10H1	RNASEQ|NGS	1.0	colon	1.0
SLC26A6	GDS1096|Array_count	1.0	colon	1.0
FUT3	GDS1096|Array_count	1.0	colon	1.0
PRAC	RNASEQ|NGS	1.0	colon	1.0
MIR765	RNASEQ|NGS	1.0	colon	1.0
UGT2B28	RNASEQ|NGS	1.0	colon	1.0
CLCA1	GSE30611|NGS	0.9994	colon	1.0
OR2A5	GSE30611|NGS	1.0	colon	1.0
LRRC31	GDS1096|Array_count	1.0	colon	1.0
A4GNT	GDS3113|Array_count	1.0	colon	1.0
OTOP2	RNASEQ|NGS	1.0	colon	1.0
NME1-NME2	GSE30611|NGS	1.0	colon	1.0
SATB2	GDS1096|Array_count	1.0	colon	1.0
AKAP2	RNASEQ|NGS	1.0	colon	1.0
MAB21L2	GDS1096|Array_count	1.0	colon	1.0
COLEC11	GSE30611|NGS	1.0	colon	1.0
CYP26C1	RNASEQ|NGS	1.0	colon	1.0
FUT3	GSE30611|NGS	1.0	colon	1.0
CENPM	RNASEQ|NGS	1.0	colon	1.0
GIP	RNASEQ|NGS	1.0	colon	1.0
MIR192	RNASEQ|NGS	1.0	colon	1.0
TRIM31	GDS1096|Array_count	1.0	colon	1.0
PYY	GDS1096|Array_count	1.0	colon	1.0
KRT20	RNASEQ|NGS	0.9998	colon	1.0
TMEM44	GSE30611|NGS	1.0	colon	1.0
GUCA2B	RNASEQ|NGS	1.0	colon	1.0
MIR941-1	RNASEQ|NGS	1.0	colon	1.0
LCN15	RNASEQ|NGS	1.0	colon	1.0
CLCA1	RNASEQ|NGS	0.9999	colon	1.0
APOBEC1	RNASEQ|NGS	1.0	colon	1.0
TRIM34	RNASEQ|NGS	1.0	colon	1.0
FXYD5	GSE30611|NGS	1.0	colon	1.0
NLRP9	GDS3113|Array_count	1.0	colon	1.0
MIR210	GSE30611|NGS	1.0	colon	1.0
TFF1	RNASEQ|NGS	1.0	colon	1.0
B3GNT3	GDS1096|Array_count	1.0	colon	1.0
GPR25	RNASEQ|NGS	1.0	colon	1.0
MS4A12	GDS1096|Array_count	1.0	colon	1.0
SCYL2	GDS1096|Array_count	1.0	colon	1.0
MIR938	RNASEQ|NGS	1.0	colon	1.0
RETNLB	RNASEQ|NGS	1.0	colon	1.0
INSL5	GDS1096|Array_count	1.0	colon	1.0
MAP1LC3A	GSE30611|NGS	1.0	colon	1.0
BEST2	GDS1096|Array_count	1.0	colon	1.0
LINC00111	RNASEQ|NGS	1.0	colon	1.0
CHODL-AS1	RNASEQ|NGS	1.0	colon	1.0
MIR548D1	RNASEQ|NGS	1.0	colon	1.0
PDE4C	GSE30611|NGS	1.0	colon	1.0
ZNF558	GDS3113|Array_count	1.0	colon	1.0
PPIG	GDS1096|Array_count	1.0	colon	1.0
CES3	GDS1096|Array_count	1.0	colon	1.0
CDX1	RNASEQ|NGS	0.9995	colon	1.0
C12orf36	RNASEQ|NGS	0.9993	colon	1.0
SNORA5B	RNASEQ|NGS	1.0	colon	1.0
RETNLB	GSE30611|NGS	1.0	colon	1.0
GUCA2A	RNASEQ|NGS	1.0	colon	1.0
PDX1	GDS3113|Array_count	1.0	colon	1.0
GSX2	RNASEQ|NGS	1.0	colon	1.0
FAM55D	GDS1096|Array_count	1.0	colon	1.0
C9orf116	GSE30611|NGS	1.0	colon	1.0
ANO7	RNASEQ|NGS	1.0	colon	1.0
C10orf99	RNASEQ|NGS	1.0	colon	1.0
UBE2F-SCLY	GSE30611|NGS	1.0	colon	1.0
CEACAM7	GDS1096|Array_count	1.0	colon	1.0
LOR	RNASEQ|NGS	1.0	colon	1.0
MIR339	GSE30611|NGS	1.0	colon	1.0
THRSP	GSE30611|NGS	1.0	colon	1.0
PRPF18	GDS1096|Array_count	1.0	colon	1.0
MUCL1	RNASEQ|NGS	1.0	colon	1.0
REG4	RNASEQ|NGS	1.0	colon	1.0
MUC12	RNASEQ|NGS	0.9991	colon	1.0
CDH17	GSE30611|NGS	1.0	colon	1.0
CDX2	RNASEQ|NGS	1.0	colon	1.0
SNORD111	GSE30611|NGS	1.0	colon	1.0
MS4A12	GDS3113|Array_count	0.9997	colon	1.0
LOC645431	GSE30611|NGS	0.9993	colon	1.0
LOC100286793	RNASEQ|NGS	1.0	colon	1.0
CEACAM7	RNASEQ|NGS	0.9997	colon	1.0
AQP8	RNASEQ|NGS	1.0	colon	1.0
DEFA5	RNASEQ|NGS	1.0	colon	1.0
MAPK3	GSE30611|NGS	1.0	colon	1.0
BUD31	GSE30611|NGS	1.0	colon	1.0
ASB17	GSE30611|NGS	1.0	colon	1.0
SPINK6	GSE30611|NGS	1.0	colon	1.0
OMP	RNASEQ|NGS	1.0	colon	1.0
OLIG3	GDS3113|Array_count	1.0	colon	1.0
GCG	GSE30611|NGS	0.9994	colon	1.0
TTTY18	RNASEQ|NGS	1.0	colon	1.0
OR4D11	GSE30611|NGS	1.0	colon	1.0
KRTAP2-4	RNASEQ|NGS	1.0	colon	1.0
OR10S1	GSE30611|NGS	1.0	colon	1.0
ABCC13	RNASEQ|NGS	1.0	colon	1.0
MUC2	RNASEQ|NGS	0.9999	colon	1.0
MLX	GDS1096|Array_count	1.0	colon	1.0
RPSA	GSE30611|NGS	1.0	colon	1.0
ATOH1	RNASEQ|NGS	1.0	colon	1.0
TRPM4	GDS1096|Array_count	1.0	colon	1.0
NCBP2	GDS1096|Array_count	1.0	colon	1.0
SLC26A3	GDS1096|Array_count	1.0	colon	1.0
EPS8L3	GSE30611|NGS	1.0	colon	1.0
MIR548I1	GSE30611|NGS	1.0	colon	1.0
DEFA6	RNASEQ|NGS	1.0	colon	1.0
EFNA2	RNASEQ|NGS	1.0	colon	1.0
TNFRSF18	RNASEQ|NGS	1.0	colon	1.0
PDF	RNASEQ|NGS	1.0	colon	1.0
MADCAM1	RNASEQ|NGS	1.0	colon	1.0
