^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434); GDS181_TISSUE|Array_count(11904358); GSE30611|NGS(23258890); RNASEQ|NGS(22345621).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
ANGPTL3	literature	10644446	liver	-
NAT2	literature	21317369	liver	-
SLCO1B1	literature	19022939	liver	-
CPS1-IT1	GSE30611|NGS	1.0	liver	1.0
GLYATL1	GSE30611|NGS	1.0	liver	1.0
APOF	GSE30611|NGS	0.9993	liver	1.0
ARG1	GDS181_TISSUE|Array_count	1.0	liver	1.0
PROC	GDS1096|Array_count	1.0	liver	1.0
ALB	GDS1096|Array_count	1.0	liver	1.0
ACSM5	GDS1096|Array_count	1.0	liver	1.0
SERPIND1	GDS181_TISSUE|Array_count	1.0	liver	1.0
UGT2B17	GDS181_TISSUE|Array_count	1.0	liver	1.0
CYP7A1	RNASEQ|NGS	0.9995	liver	1.0
C8B	GDS3113|Array_count	0.9996	liver	1.0
SLC17A2	GDS181_TISSUE|Array_count	1.0	liver	1.0
SLC22A7	GDS1096|Array_count	1.0	liver	1.0
CPB2	GSE30611|NGS	1.0	liver	1.0
PAH	GDS1096|Array_count	1.0	liver	1.0
KLKB1	GDS1096|Array_count	1.0	liver	1.0
APOH	RNASEQ|NGS	0.9979	liver	1.0
GC	GDS1096|Array_count	1.0	liver	1.0
SENP5	GDS1096|Array_count	1.0	liver	1.0
MAT1A	GDS1096|Array_count	1.0	liver	1.0
C9	GSE30611|NGS	0.9993	liver	1.0
LECT2	GDS1096|Array_count	1.0	liver	1.0
MASP1	GDS181_TISSUE|Array_count	1.0	liver	1.0
CYP4F11	GDS1096|Array_count	1.0	liver	1.0
RDH16	GDS1096|Array_count	1.0	liver	1.0
PROZ	GDS3113|Array_count	0.9998	liver	1.0
ASGR1	GDS1096|Array_count	1.0	liver	1.0
C4BPB	GDS1096|Array_count	1.0	liver	1.0
AFM	GDS1096|Array_count	1.0	liver	1.0
MBD6	GDS1096|Array_count	1.0	liver	1.0
SLC38A3	GDS1096|Array_count	1.0	liver	1.0
ARVCF	GDS1096|Array_count	1.0	liver	1.0
MASP1	GDS1096|Array_count	1.0	liver	1.0
LECT2	GDS181_TISSUE|Array_count	0.9997	liver	1.0
ASGR2	GSE30611|NGS	1.0	liver	1.0
