^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
CNGA2	GDS3113|Array_count	1.0	skin	1.0
FLG	GDS3113|Array_count	0.9996	skin	1.0
KRT33B	GDS1096|Array_count	1.0	skin	1.0
KRT32	GDS1096|Array_count	1.0	skin	1.0
KRT35	GDS1096|Array_count	1.0	skin	1.0
ADAM15	GDS1096|Array_count	1.0	skin	1.0
CD82	GDS1096|Array_count	1.0	skin	1.0
S100A3	GDS1096|Array_count	1.0	skin	1.0
LINC00302	GDS1096|Array_count	1.0	skin	1.0
KRT34	GDS1096|Array_count	1.0	skin	1.0
PKP1	GDS1096|Array_count	1.0	skin	1.0
ZNF26	GDS1096|Array_count	1.0	skin	1.0
KRT81	GDS1096|Array_count	1.0	skin	1.0
UBE2G2	GDS1096|Array_count	1.0	skin	1.0
PCDH1	GDS1096|Array_count	1.0	skin	1.0
LRRC55	GDS3113|Array_count	1.0	skin	1.0
GJB3	GDS1096|Array_count	1.0	skin	1.0
TGM1	GDS1096|Array_count	1.0	skin	1.0
S100A7	GDS1096|Array_count	1.0	skin	1.0
BRWD1	GDS1096|Array_count	1.0	skin	1.0
LAD1	GDS1096|Array_count	1.0	skin	1.0
SFN	GDS1096|Array_count	1.0	skin	1.0
TRAF3IP2	GDS1096|Array_count	1.0	skin	1.0
AMBN	GDS3113|Array_count	1.0	skin	1.0
MATN4	GDS1096|Array_count	1.0	skin	1.0
TP53TG1	GDS1096|Array_count	1.0	skin	1.0
TYR	GDS1096|Array_count	1.0	skin	1.0
MLANA	GDS1096|Array_count	1.0	skin	1.0
API5	GDS1096|Array_count	1.0	skin	1.0
KRT85	GDS1096|Array_count	1.0	skin	1.0
NMU	GDS1096|Array_count	1.0	skin	1.0
CLCA2	GDS1096|Array_count	1.0	skin	1.0
LY6D	GDS1096|Array_count	1.0	skin	1.0
IRX4	GDS1096|Array_count	1.0	skin	1.0
LYPD3	GDS1096|Array_count	1.0	skin	1.0
NOD2	GDS1096|Array_count	1.0	skin	1.0
SULT1E1	GDS1096|Array_count	1.0	skin	1.0
KRT75	GDS1096|Array_count	1.0	skin	1.0
TCHH	GDS1096|Array_count	1.0	skin	1.0
RALBP1	GDS1096|Array_count	1.0	skin	1.0
BAIAP2	GDS1096|Array_count	1.0	skin	1.0
TP63	GDS1096|Array_count	1.0	skin	1.0
KRT38	GDS1096|Array_count	1.0	skin	1.0
ITPR2	GDS1096|Array_count	1.0	skin	1.0
GIPR	GDS3113|Array_count	1.0	skin	1.0
RBFOX2	GDS1096|Array_count	1.0	skin	1.0
GDPD3	GDS1096|Array_count	1.0	skin	1.0
KCTD20	GDS1096|Array_count	1.0	skin	1.0
GLTP	GDS1096|Array_count	1.0	skin	1.0
