^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS1096|Array_count(15950434).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
KCNE2	GDS1096|Array_count	1.0	Stomach	1.0
PICK1	GDS1096|Array_count	1.0	Stomach	1.0
RGNEF	GDS1096|Array_count	1.0	Stomach	1.0
E2F4	GDS1096|Array_count	1.0	Stomach	1.0
SLC28A2	GDS1096|Array_count	1.0	Stomach	1.0
GCNT1	GDS1096|Array_count	1.0	Stomach	1.0
CLDN18	GDS1096|Array_count	1.0	Stomach	1.0
ZDHHC18	GDS1096|Array_count	1.0	Stomach	1.0
URI1	GDS1096|Array_count	1.0	Stomach	1.0
LOC80054	GDS1096|Array_count	1.0	Stomach	1.0
MUC6	GDS1096|Array_count	1.0	Stomach	1.0
PPFIBP2	GDS1096|Array_count	1.0	Stomach	1.0
GPR4	GDS1096|Array_count	1.0	Stomach	1.0
ZKSCAN3	GDS1096|Array_count	1.0	Stomach	1.0
ESRRG	GDS1096|Array_count	1.0	Stomach	1.0
LIPF	GDS1096|Array_count	1.0	Stomach	1.0
SLC4A2	GDS1096|Array_count	1.0	Stomach	1.0
TRPA1	GDS1096|Array_count	1.0	Stomach	1.0
HECW1	GDS1096|Array_count	1.0	Stomach	1.0
MTERFD2	GDS1096|Array_count	1.0	Stomach	1.0
FAM49B	GDS1096|Array_count	1.0	Stomach	1.0
FER1L4	GDS1096|Array_count	1.0	Stomach	1.0
GIF	GDS1096|Array_count	1.0	Stomach	1.0
ATP4B	GDS1096|Array_count	1.0	Stomach	1.0
ADAM28	GDS1096|Array_count	1.0	Stomach	1.0
SYTL2	GDS1096|Array_count	1.0	Stomach	1.0
