^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434); GSE30611|NGS(23258890); RNASEQ|NGS(22345621).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
LCN15	RNASEQ|NGS	1.0	colon	1.0
MUC12	RNASEQ|NGS	0.9991	colon	1.0
THRSP	GSE30611|NGS	1.0	colon	1.0
MUCL1	RNASEQ|NGS	1.0	colon	1.0
MS4A12	GDS1096|Array_count	1.0	colon	1.0
SCYL2	GDS1096|Array_count	1.0	colon	1.0
MIR192	RNASEQ|NGS	1.0	colon	1.0
GCG	GSE30611|NGS	0.9994	colon	1.0
RPSA	GSE30611|NGS	1.0	colon	1.0
SATB2	GDS1096|Array_count	1.0	colon	1.0
KRT20	RNASEQ|NGS	0.9998	colon	1.0
C10orf99	RNASEQ|NGS	1.0	colon	1.0
MLX	GDS1096|Array_count	1.0	colon	1.0
CHODL-AS1	RNASEQ|NGS	1.0	colon	1.0
ANO7	RNASEQ|NGS	1.0	colon	1.0
TNFRSF18	RNASEQ|NGS	1.0	colon	1.0
MAP1LC3A	GSE30611|NGS	1.0	colon	1.0
GSX2	RNASEQ|NGS	1.0	colon	1.0
MIR339	GSE30611|NGS	1.0	colon	1.0
ATOH1	RNASEQ|NGS	1.0	colon	1.0
FUT3	GDS1096|Array_count	1.0	colon	1.0
LOC100286793	RNASEQ|NGS	1.0	colon	1.0
INSL5	GDS1096|Array_count	1.0	colon	1.0
MIR938	RNASEQ|NGS	1.0	colon	1.0
MADCAM1	RNASEQ|NGS	1.0	colon	1.0
TRIM31	GDS1096|Array_count	1.0	colon	1.0
SPINK6	GSE30611|NGS	1.0	colon	1.0
CENPM	RNASEQ|NGS	1.0	colon	1.0
PYY	GDS1096|Array_count	1.0	colon	1.0
OTOP2	RNASEQ|NGS	1.0	colon	1.0
LY6G6D	RNASEQ|NGS	1.0	colon	1.0
CEACAM7	GDS1096|Array_count	1.0	colon	1.0
SNORD111	GSE30611|NGS	1.0	colon	1.0
FAM55D	GDS1096|Array_count	1.0	colon	1.0
TRIM34	RNASEQ|NGS	1.0	colon	1.0
PDX1	GDS3113|Array_count	1.0	colon	1.0
DEFA5	RNASEQ|NGS	1.0	colon	1.0
NCBP2	GDS1096|Array_count	1.0	colon	1.0
DEFA6	RNASEQ|NGS	1.0	colon	1.0
AKAP2	RNASEQ|NGS	1.0	colon	1.0
