^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434); GDS181_TISSUE|Array_count(11904358); GSE30611|NGS(23258890); RNASEQ|NGS(22345621).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
SLCO1B1	literature	19022939	liver	-
NAT2	literature	21317369	liver	-
ANGPTL3	literature	10644446	liver	-
LIPC	GDS1096|Array_count	1.0	liver	1.0
FGA	GSE30611|NGS	0.9996	liver	1.0
CYP1A2	GDS1096|Array_count	1.0	liver	1.0
SULT2A1	GSE30611|NGS	0.9988	liver	1.0
SERPINA7	GDS1096|Array_count	1.0	liver	1.0
F2	GDS3113|Array_count	1.0	liver	1.0
SERPINA6	GDS1096|Array_count	1.0	liver	1.0
ACSM5	GDS1096|Array_count	1.0	liver	1.0
SAA3P	GDS1096|Array_count	1.0	liver	1.0
F9	RNASEQ|NGS	0.9981	liver	1.0
HPX	BIOGPS_U133AGNF1HA|Array_count	0.9996	liver	1.0
GPR21	GDS1096|Array_count	1.0	liver	1.0
ORM2	RNASEQ|NGS	0.9976	liver	1.0
ASGR2	GSE30611|NGS	1.0	liver	1.0
SLC22A1	GDS181_TISSUE|Array_count	1.0	liver	1.0
GPT	GDS181_TISSUE|Array_count	1.0	liver	1.0
SHMT1	GDS1096|Array_count	1.0	liver	1.0
ZNF542	GSE30611|NGS	1.0	liver	1.0
APOF	GDS181_TISSUE|Array_count	1.0	liver	1.0
FGF5	GDS1096|Array_count	1.0	liver	1.0
FGG	RNASEQ|NGS	0.9978	liver	1.0
APOA4	GDS181_TISSUE|Array_count	1.0	liver	1.0
C8G	GDS1096|Array_count	1.0	liver	1.0
SLC22A7	GDS1096|Array_count	1.0	liver	1.0
VWA1	GSE30611|NGS	1.0	liver	1.0
CCL16	GDS1096|Array_count	1.0	liver	1.0
CPN1	GDS1096|Array_count	1.0	liver	1.0
LECT2	GDS1096|Array_count	1.0	liver	1.0
FGL1	RNASEQ|NGS	0.9989	liver	1.0
TAT	RNASEQ|NGS	0.9975	liver	1.0
ITIH1	GDS1096|Array_count	1.0	liver	1.0
GC	GDS1096|Array_count	1.0	liver	1.0
MYO1B	GDS1096|Array_count	1.0	liver	1.0
RDH5	GDS181_TISSUE|Array_count	1.0	liver	1.0
ITGB3	GDS1096|Array_count	1.0	liver	1.0
VTN	BIOGPS_U133AGNF1HA|Array_count	0.9996	liver	1.0
SAA4	GDS181_TISSUE|Array_count	1.0	liver	1.0
AMBP	GSE30611|NGS	0.9994	liver	1.0
MIR628	GSE30611|NGS	1.0	liver	1.0
LBP	GDS3113|Array_count	0.9998	liver	1.0
UPB1	GDS1096|Array_count	1.0	liver	1.0
CYP2E1	BIOGPS_U133AGNF1HA|Array_count	0.9996	liver	1.0
