^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434); GDS181_TISSUE|Array_count(11904358); GSE30611|NGS(23258890); RNASEQ|NGS(22345621).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
SBSN	RNASEQ|NGS	1.0	lung	1.0
SFTPB	GDS3113|Array_count	0.9999	lung	1.0
CA6	RNASEQ|NGS	1.0	lung	1.0
PAR5	GSE30611|NGS	1.0	lung	1.0
LOC154860	GSE30611|NGS	1.0	lung	1.0
SMR3A	RNASEQ|NGS	1.0	lung	1.0
KRTAP12-3	RNASEQ|NGS	1.0	lung	1.0
ITGB6	GDS181_TISSUE|Array_count	1.0	lung	1.0
NPY2R	GDS1096|Array_count	1.0	lung	1.0
CHIA	GSE30611|NGS	1.0	lung	1.0
SERPINA1	GSE30611|NGS	1.0	lung	1.0
STX11	GDS181_TISSUE|Array_count	1.0	lung	1.0
CSF3	GSE30611|NGS	1.0	lung	1.0
SLC38A10	GDS181_TISSUE|Array_count	1.0	lung	1.0
OSBPL3	GDS1096|Array_count	1.0	lung	1.0
ARAP3	GDS1096|Array_count	1.0	lung	1.0
JAKMIP1	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPC	BIOGPS_U133AGNF1HA|Array_count	0.9998	lung	1.0
C10orf32	GSE30611|NGS	1.0	lung	1.0
PRINS	GDS1096|Array_count	1.0	lung	1.0
FTSJ1	GSE30611|NGS	1.0	lung	1.0
SNORD51	RNASEQ|NGS	1.0	lung	1.0
CACNG6	GSE30611|NGS	1.0	lung	1.0
OR6K3	GSE30611|NGS	1.0	lung	1.0
CLOCK	GDS181_TISSUE|Array_count	1.0	lung	1.0
LOC145678	GDS181_TISSUE|Array_count	1.0	lung	1.0
SERPINB11	RNASEQ|NGS	1.0	lung	1.0
MIR3615	GSE30611|NGS	0.9997	lung	1.0
LAMB3	GSE30611|NGS	1.0	lung	1.0
RBMS2	GDS1096|Array_count	1.0	lung	1.0
RHOF	GDS1096|Array_count	1.0	lung	1.0
HGF	GDS181_TISSUE|Array_count	1.0	lung	1.0
GTPBP1	GDS181_TISSUE|Array_count	1.0	lung	1.0
TMEM74B	GDS1096|Array_count	1.0	lung	1.0
STATH	GSE30611|NGS	1.0	lung	1.0
SNORD124	RNASEQ|NGS	1.0	lung	1.0
MSR1	GDS1096|Array_count	1.0	lung	1.0
CALHM3	RNASEQ|NGS	1.0	lung	1.0
SCARNA15	RNASEQ|NGS	1.0	lung	1.0
MIR614	RNASEQ|NGS	1.0	lung	1.0
XAGE2	GSE30611|NGS	1.0	lung	1.0
TMEM127	GDS1096|Array_count	1.0	lung	1.0
IL7	GSE30611|NGS	1.0	lung	1.0
PRR4	GSE30611|NGS	1.0	lung	1.0
SFTPB	GDS181_TISSUE|Array_count	1.0	lung	1.0
MMP8	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPC	GDS3113|Array_count	0.9991	lung	1.0
HRH1	GSE30611|NGS	1.0	lung	1.0
ADRA2B	GDS1096|Array_count	1.0	lung	1.0
SLC11A1	GDS181_TISSUE|Array_count	1.0	lung	1.0
STON1	GSE30611|NGS	1.0	lung	1.0
SEC14L3	RNASEQ|NGS	1.0	lung	1.0
IL15RA	GDS1096|Array_count	1.0	lung	1.0
PGLYRP3	RNASEQ|NGS	1.0	lung	1.0
SP1	GDS181_TISSUE|Array_count	1.0	lung	1.0
MCF2L	GDS3113|Array_count	1.0	lung	1.0
GRP	GSE30611|NGS	1.0	lung	1.0
PPBPL2	RNASEQ|NGS	1.0	lung	1.0
EGFL7	GDS1096|Array_count	1.0	lung	1.0
SLC39A8	GDS1096|Array_count	1.0	lung	1.0
COG6	GSE30611|NGS	1.0	lung	1.0
CCR5	GDS181_TISSUE|Array_count	1.0	lung	1.0
INPP5B	GDS1096|Array_count	1.0	lung	1.0
CD86	GDS1096|Array_count	1.0	lung	1.0
SCGB1A1	RNASEQ|NGS	0.9999	lung	1.0
SCGB3A2	GSE30611|NGS	0.9995	lung	1.0
RGPD2	GSE30611|NGS	1.0	lung	1.0
SCGB3A2	RNASEQ|NGS	0.9995	lung	1.0
LDLRAD1	RNASEQ|NGS	1.0	lung	1.0
CST6	RNASEQ|NGS	1.0	lung	1.0
ASCL4	RNASEQ|NGS	1.0	lung	1.0
BPIFA1	RNASEQ|NGS	1.0	lung	1.0
IL25	RNASEQ|NGS	1.0	lung	1.0
TRIM21	GDS1096|Array_count	1.0	lung	1.0
UGT2A2	RNASEQ|NGS	1.0	lung	1.0
TRIM38	GDS1096|Array_count	1.0	lung	1.0
CSF3	GDS1096|Array_count	1.0	lung	1.0
ICAM1	GDS1096|Array_count	1.0	lung	1.0
SFTPB	GDS1096|Array_count	1.0	lung	1.0
KIAA0040	GDS181_TISSUE|Array_count	1.0	lung	1.0
FLVCR2	GDS1096|Array_count	1.0	lung	1.0
HAS1	GDS1096|Array_count	1.0	lung	1.0
ERG	GDS181_TISSUE|Array_count	1.0	lung	1.0
IL7	GDS181_TISSUE|Array_count	1.0	lung	1.0
MAF	GSE30611|NGS	1.0	lung	1.0
SNORD1B	GSE30611|NGS	1.0	lung	1.0
KRTAP26-1	RNASEQ|NGS	1.0	lung	1.0
CD44	GDS181_TISSUE|Array_count	1.0	lung	1.0
MFSD7	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPA2	GSE30611|NGS	0.9992	lung	1.0
ADRA1D	GDS181_TISSUE|Array_count	1.0	lung	1.0
LILRB2	GDS181_TISSUE|Array_count	1.0	lung	1.0
CEP104	GDS181_TISSUE|Array_count	1.0	lung	1.0
CMA1	GDS1096|Array_count	1.0	lung	1.0
LIF	GDS1096|Array_count	1.0	lung	1.0
MIR223	GSE30611|NGS	1.0	lung	1.0
IL1B	GDS181_TISSUE|Array_count	1.0	lung	1.0
DMBT1	GSE30611|NGS	1.0	lung	1.0
HEXDC	GSE30611|NGS	1.0	lung	1.0
CD164L2	RNASEQ|NGS	1.0	lung	1.0
CST4	RNASEQ|NGS	1.0	lung	1.0
MED24	GDS181_TISSUE|Array_count	1.0	lung	1.0
FLJ39653	GSE30611|NGS	1.0	lung	1.0
CLDN18	GDS3113|Array_count	0.9994	lung	1.0
SFTPB	RNASEQ|NGS	0.9998	lung	1.0
SFTPB	GSE30611|NGS	1.0	lung	1.0
CD58	GDS1096|Array_count	1.0	lung	1.0
OR2B2	RNASEQ|NGS	1.0	lung	1.0
ITGAM	GDS181_TISSUE|Array_count	1.0	lung	1.0
TCEB3	GDS181_TISSUE|Array_count	1.0	lung	1.0
ADAMTS8	GDS1096|Array_count	1.0	lung	1.0
CCL13	GDS1096|Array_count	1.0	lung	1.0
C2orf50	GDS3113|Array_count	1.0	lung	1.0
ECRP	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPA1	GDS3113|Array_count	0.9992	lung	1.0
FRY	GDS1096|Array_count	1.0	lung	1.0
PCDH12	GDS1096|Array_count	1.0	lung	1.0
FKBP15	GDS1096|Array_count	1.0	lung	1.0
ETV1	GDS181_TISSUE|Array_count	1.0	lung	1.0
EDN1	GDS1096|Array_count	1.0	lung	1.0
CLEC4M	GDS181_TISSUE|Array_count	1.0	lung	1.0
KIT	GDS181_TISSUE|Array_count	1.0	lung	1.0
SH3BP2	GDS181_TISSUE|Array_count	1.0	lung	1.0
TNFRSF10B	GSE30611|NGS	1.0	lung	1.0
UBE3A	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPC	RNASEQ|NGS	0.9998	lung	1.0
AKAP8	GDS1096|Array_count	1.0	lung	1.0
TMEM70	GDS1096|Array_count	1.0	lung	1.0
SFTPC	GSE30611|NGS	0.9995	lung	1.0
STARD8	GDS1096|Array_count	1.0	lung	1.0
LOC340357	RNASEQ|NGS	1.0	lung	1.0
PRB4	GSE30611|NGS	0.9993	lung	1.0
NPR1	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPA2	RNASEQ|NGS	1.0	lung	1.0
PRSS21	GSE30611|NGS	1.0	lung	1.0
ICAM4	GDS1096|Array_count	1.0	lung	1.0
SFTPB	BIOGPS_U133AGNF1HA|Array_count	0.9996	lung	1.0
SFTPD	GDS1096|Array_count	1.0	lung	1.0
LILRA3	GDS181_TISSUE|Array_count	1.0	lung	1.0
DUOXA2	RNASEQ|NGS	1.0	lung	1.0
SFTPA1	RNASEQ|NGS	1.0	lung	1.0
TNFSF10	GSE30611|NGS	1.0	lung	1.0
CHKB	RNASEQ|NGS	1.0	lung	1.0
PRB3	GSE30611|NGS	0.9995	lung	1.0
PGS1	GDS1096|Array_count	1.0	lung	1.0
OLIG3	RNASEQ|NGS	1.0	lung	1.0
NR4A3	GDS1096|Array_count	1.0	lung	1.0
KITLG	GDS181_TISSUE|Array_count	1.0	lung	1.0
BTN3A2	GDS181_TISSUE|Array_count	1.0	lung	1.0
SFTPC	GDS1096|Array_count	1.0	lung	1.0
SKIL	GDS181_TISSUE|Array_count	1.0	lung	1.0
TREX2	RNASEQ|NGS	1.0	lung	1.0
CCRL2	GDS1096|Array_count	1.0	lung	1.0
ARAP1	GDS1096|Array_count	1.0	lung	1.0
TICAM1	GDS1096|Array_count	1.0	lung	1.0
CSF1	GSE30611|NGS	1.0	lung	1.0
DNAJC1	GDS1096|Array_count	1.0	lung	1.0
PRB1	GSE30611|NGS	0.9998	lung	1.0
PGC	RNASEQ|NGS	0.9997	lung	1.0
AGER	GDS1096|Array_count	1.0	lung	1.0
JOSD1	GDS1096|Array_count	1.0	lung	1.0
LMO2	GSE30611|NGS	1.0	lung	1.0
C15orf53	GSE30611|NGS	1.0	lung	1.0
GKN2	RNASEQ|NGS	1.0	lung	1.0
MIR3190	GSE30611|NGS	1.0	lung	1.0
OR2B2	GSE30611|NGS	1.0	lung	1.0
TM9SF4	GDS1096|Array_count	1.0	lung	1.0
AZU1	RNASEQ|NGS	1.0	lung	1.0
MARCO	GDS181_TISSUE|Array_count	1.0	lung	1.0
ACVR1B	GDS181_TISSUE|Array_count	1.0	lung	1.0
LYNX1	RNASEQ|NGS	1.0	lung	1.0
SNORD88C	RNASEQ|NGS	1.0	lung	1.0
CTSE	GDS181_TISSUE|Array_count	1.0	lung	1.0
CD160	GDS181_TISSUE|Array_count	1.0	lung	1.0
