^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
DOCK9	GDS1096|Array_count	1.0	skin	1.0
BAIAP2	GDS1096|Array_count	1.0	skin	1.0
CNGA2	GDS3113|Array_count	1.0	skin	1.0
GPRC5D	GDS1096|Array_count	1.0	skin	1.0
NUP205	GDS1096|Array_count	1.0	skin	1.0
KRTAP3-2	GDS3113|Array_count	1.0	skin	1.0
KRT81	GDS1096|Array_count	1.0	skin	1.0
KRT33B	GDS1096|Array_count	1.0	skin	1.0
KLF8	GDS1096|Array_count	1.0	skin	1.0
KRT34	GDS1096|Array_count	1.0	skin	1.0
SULT1E1	GDS1096|Array_count	1.0	skin	1.0
DSG1	GDS1096|Array_count	1.0	skin	1.0
IL36RN	GDS1096|Array_count	1.0	skin	1.0
KRTAP1-1	GDS1096|Array_count	1.0	skin	1.0
RALBP1	GDS1096|Array_count	1.0	skin	1.0
LGALSL	GDS1096|Array_count	1.0	skin	1.0
HOXC13	GDS1096|Array_count	1.0	skin	1.0
RIPK4	GDS1096|Array_count	1.0	skin	1.0
KRT38	GDS1096|Array_count	1.0	skin	1.0
TCHH	GDS1096|Array_count	1.0	skin	1.0
CRCT1	GDS1096|Array_count	1.0	skin	1.0
TP53AIP1	GDS1096|Array_count	1.0	skin	1.0
IL36G	GDS1096|Array_count	1.0	skin	1.0
CDSN	GDS1096|Array_count	1.0	skin	1.0
KRT85	GDS1096|Array_count	1.0	skin	1.0
SFN	GDS1096|Array_count	1.0	skin	1.0
KRT32	GDS1096|Array_count	1.0	skin	1.0
BLMH	GDS1096|Array_count	1.0	skin	1.0
KDM4B	GDS1096|Array_count	1.0	skin	1.0
RBFOX2	GDS1096|Array_count	1.0	skin	1.0
SGK196	GDS3113|Array_count	1.0	skin	1.0
LY6D	GDS1096|Array_count	1.0	skin	1.0
DCD	GDS3113|Array_count	0.9997	skin	1.0
PRRG4	GDS1096|Array_count	1.0	skin	1.0
ALOX12	GDS1096|Array_count	1.0	skin	1.0
ZNF26	GDS1096|Array_count	1.0	skin	1.0
FLG	GDS3113|Array_count	0.9996	skin	1.0
CDHR1	GDS1096|Array_count	1.0	skin	1.0
IL37	GDS1096|Array_count	1.0	skin	1.0
ENDOU	GDS1096|Array_count	1.0	skin	1.0
ANXA9	GDS1096|Array_count	1.0	skin	1.0
TYR	GDS1096|Array_count	1.0	skin	1.0
CDKN2B	GDS1096|Array_count	1.0	skin	1.0
TRAF3IP2	GDS1096|Array_count	1.0	skin	1.0
PRO2214	GDS3113|Array_count	1.0	skin	1.0
KRT75	GDS1096|Array_count	1.0	skin	1.0
BRWD1	GDS1096|Array_count	1.0	skin	1.0
SMAD5	GDS1096|Array_count	1.0	skin	1.0
API5	GDS1096|Array_count	1.0	skin	1.0
OTUB2	GDS1096|Array_count	1.0	skin	1.0
CLCA2	GDS1096|Array_count	1.0	skin	1.0
LRRC55	GDS3113|Array_count	1.0	skin	1.0
GJB3	GDS1096|Array_count	1.0	skin	1.0
RIOK3	GDS1096|Array_count	1.0	skin	1.0
PCDH1	GDS1096|Array_count	1.0	skin	1.0
LYPD3	GDS1096|Array_count	1.0	skin	1.0
NOD2	GDS1096|Array_count	1.0	skin	1.0
RNF39	GDS1096|Array_count	1.0	skin	1.0
S100A3	GDS1096|Array_count	1.0	skin	1.0
KRT33A	GDS1096|Array_count	1.0	skin	1.0
EPHX3	GDS1096|Array_count	1.0	skin	1.0
LINC00302	GDS1096|Array_count	1.0	skin	1.0
CD82	GDS1096|Array_count	1.0	skin	1.0
DSC1	GDS1096|Array_count	1.0	skin	1.0
CCNL2	GDS1096|Array_count	1.0	skin	1.0
LAD1	GDS1096|Array_count	1.0	skin	1.0
C1orf68	GDS1096|Array_count	1.0	skin	1.0
KRT2	GDS3113|Array_count	0.9998	skin	1.0
AMBN	GDS3113|Array_count	1.0	skin	1.0
MATN4	GDS1096|Array_count	1.0	skin	1.0
SEC14L4	GDS1096|Array_count	1.0	skin	1.0
