^DATABASE = Pattern Gene Database (PaGenBase)
!Database_institute = Bioinformatics-Aided Drug Discovery Group at XMU China
!Database_web_link = http://bioinf.xmu.edu.cn/PaGenBase/index.jsp
!Data_processed_by Jian-Bo Pan; email = panjianbo87@gmail.com
!Specific Genes for Homo sapiens/tissue
!Version: PaGenBase 1.0
!Dataset(PMID):GDS3113|Array_count(19014478); BIOGPS_U133AGNF1HA|Array_count(15075390); GDS1096|Array_count(15950434); GDS181_TISSUE|Array_count(11904358).
Gene Symbol	Dataset	DPM/PubMed ID	Sample	SPM
MYB	GDS181_TISSUE|Array_count	1.0	thymus	1.0
POU6F2	GDS181_TISSUE|Array_count	1.0	thymus	1.0
NCK2	GDS181_TISSUE|Array_count	1.0	thymus	1.0
LAIR1	GDS1096|Array_count	1.0	thymus	1.0
TRD@	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD1A	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD7	GDS1096|Array_count	1.0	thymus	1.0
GFI1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
HIST1H3B	GDS3113|Array_count	1.0	thymus	1.0
LEF1	GDS1096|Array_count	1.0	thymus	1.0
ISG20	GDS1096|Array_count	1.0	thymus	1.0
WDR67	GDS1096|Array_count	1.0	thymus	1.0
LRMP	GDS1096|Array_count	1.0	thymus	1.0
TFPI	GDS1096|Array_count	1.0	thymus	1.0
SERPINB8	GDS181_TISSUE|Array_count	1.0	thymus	1.0
TRAT1	GDS1096|Array_count	1.0	thymus	1.0
HCRP1	GDS1096|Array_count	1.0	thymus	1.0
SNRK	GDS1096|Array_count	1.0	thymus	1.0
TNFSF8	GDS1096|Array_count	1.0	thymus	1.0
SLAMF1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
ZNF277	GDS1096|Array_count	1.0	thymus	1.0
MXD4	GDS1096|Array_count	1.0	thymus	1.0
TCF3	GDS1096|Array_count	1.0	thymus	1.0
NRF1	GDS1096|Array_count	1.0	thymus	1.0
CD1B	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD1B	GDS3113|Array_count	0.9997	thymus	1.0
VPS53	GDS1096|Array_count	1.0	thymus	1.0
PACS1	GDS1096|Array_count	1.0	thymus	1.0
ALPK1	GDS1096|Array_count	1.0	thymus	1.0
DLK2	GDS1096|Array_count	1.0	thymus	1.0
CD8B	GDS1096|Array_count	1.0	thymus	1.0
TRAF3IP3	GDS181_TISSUE|Array_count	1.0	thymus	1.0
NR2C1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD28	GDS181_TISSUE|Array_count	1.0	thymus	1.0
ELL	GDS1096|Array_count	1.0	thymus	1.0
ETS1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
ATF7	GDS1096|Array_count	1.0	thymus	1.0
LMNB2	GDS1096|Array_count	1.0	thymus	1.0
GP6	GDS1096|Array_count	1.0	thymus	1.0
DNAJB12	GDS1096|Array_count	1.0	thymus	1.0
PIK3R4	GDS1096|Array_count	1.0	thymus	1.0
RHOH	GDS1096|Array_count	1.0	thymus	1.0
ZNF101	GDS181_TISSUE|Array_count	1.0	thymus	1.0
PAX1	GDS1096|Array_count	1.0	thymus	1.0
HTR7	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD180	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CHRNA3	GDS1096|Array_count	1.0	thymus	1.0
CCR9	GDS181_TISSUE|Array_count	1.0	thymus	1.0
INPP4A	GDS181_TISSUE|Array_count	1.0	thymus	1.0
IL10	GDS1096|Array_count	1.0	thymus	1.0
ARHGEF1	GDS1096|Array_count	1.0	thymus	1.0
HERC6	GDS1096|Array_count	1.0	thymus	1.0
KIAA0509	GDS1096|Array_count	1.0	thymus	1.0
CD3G	GDS1096|Array_count	1.0	thymus	1.0
CA5B	GDS181_TISSUE|Array_count	1.0	thymus	1.0
PRSS16	GDS1096|Array_count	1.0	thymus	1.0
CD1C	GDS1096|Array_count	1.0	thymus	1.0
CD1E	GDS1096|Array_count	1.0	thymus	1.0
SMYD2	GDS181_TISSUE|Array_count	1.0	thymus	1.0
RAG2	GDS1096|Array_count	1.0	thymus	1.0
SERPINB7	GDS181_TISSUE|Array_count	1.0	thymus	1.0
RAG1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
ASPM	GDS1096|Array_count	1.0	thymus	1.0
RRH	GDS181_TISSUE|Array_count	1.0	thymus	1.0
OR2H2	GDS1096|Array_count	1.0	thymus	1.0
CD96	GDS1096|Array_count	1.0	thymus	1.0
OSGIN2	GDS181_TISSUE|Array_count	1.0	thymus	1.0
GGA2	GDS181_TISSUE|Array_count	1.0	thymus	1.0
MDM4	GDS1096|Array_count	1.0	thymus	1.0
OAS1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
TRAT1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CCL22	GDS181_TISSUE|Array_count	1.0	thymus	1.0
PNOC	GDS1096|Array_count	1.0	thymus	1.0
CD96	GDS181_TISSUE|Array_count	1.0	thymus	1.0
TCF7	GDS1096|Array_count	1.0	thymus	1.0
TCF12	GDS1096|Array_count	1.0	thymus	1.0
IGL@	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD3G	GDS181_TISSUE|Array_count	1.0	thymus	1.0
ADA	GDS1096|Array_count	1.0	thymus	1.0
TNFRSF9	GDS181_TISSUE|Array_count	1.0	thymus	1.0
SLC7A2	GDS181_TISSUE|Array_count	1.0	thymus	1.0
SH2D1A	GDS1096|Array_count	1.0	thymus	1.0
LCK	GDS1096|Array_count	1.0	thymus	1.0
RAG1	GDS1096|Array_count	1.0	thymus	1.0
RBMY1E	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CDCA8	GDS1096|Array_count	1.0	thymus	1.0
ADRBK1	GDS1096|Array_count	1.0	thymus	1.0
DNTT	GDS1096|Array_count	1.0	thymus	1.0
H2AFX	GDS1096|Array_count	1.0	thymus	1.0
CD247	GDS1096|Array_count	1.0	thymus	1.0
MMP12	GDS181_TISSUE|Array_count	1.0	thymus	1.0
CD1B	GDS1096|Array_count	1.0	thymus	1.0
DNTT	GDS3113|Array_count	1.0	thymus	1.0
ASXL1	GDS1096|Array_count	1.0	thymus	1.0
KLHL24	GDS1096|Array_count	1.0	thymus	1.0
ETS1	GDS1096|Array_count	1.0	thymus	1.0
LOC647070	GDS1096|Array_count	1.0	thymus	1.0
INPP4A	GDS1096|Array_count	1.0	thymus	1.0
PAX1	GDS181_TISSUE|Array_count	1.0	thymus	1.0
SYNRG	GDS1096|Array_count	1.0	thymus	1.0
SPN	GDS181_TISSUE|Array_count	1.0	thymus	1.0
LYST	GDS1096|Array_count	1.0	thymus	1.0
CYTIP	GDS181_TISSUE|Array_count	1.0	thymus	1.0
SH2D1A	GDS181_TISSUE|Array_count	1.0	thymus	1.0
HEXA	GDS181_TISSUE|Array_count	1.0	thymus	1.0
ADAM7	GDS3113|Array_count	1.0	thymus	1.0
DES	GDS1096|Array_count	1.0	thymus	1.0
RAG1	GDS3113|Array_count	0.9986	thymus	0.9999
CD1E	GDS3113|Array_count	0.9993	thymus	0.9999
CD1E	BIOGPS_U133AGNF1HA|Array_count	0.9975	thymus	0.9998
CD1A	BIOGPS_U133AGNF1HA|Array_count	0.9964	thymus	0.9996
PRSS16	BIOGPS_U133AGNF1HA|Array_count	0.9963	thymus	0.9996
CD1A	GDS3113|Array_count	0.9983	thymus	0.9996
DNMT3L	GDS3113|Array_count	0.9979	thymus	0.9994
CD1B	BIOGPS_U133AGNF1HA|Array_count	0.9934	thymus	0.999
CD8B	BIOGPS_U133AGNF1HA|Array_count	0.9941	thymus	0.9989
UHRF1	BIOGPS_U133AGNF1HA|Array_count	0.9935	thymus	0.9986
RHOH	GDS181_TISSUE|Array_count	0.9979	thymus	0.9985
NEIL3	GDS3113|Array_count	0.9967	thymus	0.9982
ITK	GDS181_TISSUE|Array_count	0.9952	thymus	0.998
ITGA4	GDS181_TISSUE|Array_count	0.9975	thymus	0.9978
TXK	GDS181_TISSUE|Array_count	0.9971	thymus	0.9972
RAG1	BIOGPS_U133AGNF1HA|Array_count	0.9869	thymus	0.9967
GAL3ST2	GDS3113|Array_count	0.9967	thymus	0.9966
CCL17	GDS181_TISSUE|Array_count	0.9966	thymus	0.9962
ADA	BIOGPS_U133AGNF1HA|Array_count	0.9929	thymus	0.9962
P2RY10	GDS181_TISSUE|Array_count	0.9966	thymus	0.9961
DSG3	GDS181_TISSUE|Array_count	0.9961	thymus	0.9949
NAIP	GDS181_TISSUE|Array_count	0.9958	thymus	0.994
CCR9	BIOGPS_U133AGNF1HA|Array_count	0.9792	thymus	0.9936
PRSS16	GDS3113|Array_count	0.9774	thymus	0.9926
CTSL2	BIOGPS_U133AGNF1HA|Array_count	0.9896	thymus	0.9924
LEF1	BIOGPS_U133AGNF1HA|Array_count	0.992	thymus	0.9923
DNTT	BIOGPS_U133AGNF1HA|Array_count	0.9762	thymus	0.9921
IRF4	GDS181_TISSUE|Array_count	0.993	thymus	0.992
ICOS	GDS181_TISSUE|Array_count	0.991	thymus	0.9918
